x,y,tick,distance_walked,walking_speed,cutting_speed,start_pos
37.25825214724574,37.25825214724574,556,98.99508792996079,0.5,1.0,"(2, 2)"
37.700193885487266,37.700193885487266,557,99.62008792996069,0.5,1.0,"(2, 2)"
38.14213562372879,38.14213562372879,558,100.24508792996059,0.5,1.0,"(2, 2)"
38.584077361970316,38.584077361970316,559,100.87008792996049,0.5,1.0,"(2, 2)"
39.02601910021184,39.02601910021184,560,101.49508792996039,0.5,1.0,"(2, 2)"
39.467960838453365,39.467960838453365,561,102.12008792996029,0.5,1.0,"(2, 2)"
40.0,40.0,562,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,563,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,564,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,565,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,566,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,567,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,568,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,569,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,570,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,571,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,572,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,573,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,574,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,575,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,576,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,577,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,578,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,579,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,580,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,581,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,582,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,583,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,40.0,584,102.87250492793315,0.5,1.0,"(2, 2)"
40.0,39.37499999999986,585,103.49750492793329,0.5,1.0,"(2, 2)"
40.0,38.749999999999716,586,104.12250492793343,0.5,1.0,"(2, 2)"
40.0,38.124999999999574,587,104.74750492793358,0.5,1.0,"(2, 2)"
40.0,37.49999999999943,588,105.37250492793372,0.5,1.0,"(2, 2)"
40.0,36.87499999999929,589,105.99750492793386,0.5,1.0,"(2, 2)"
40.0,36.24999999999915,590,106.622504927934,0.5,1.0,"(2, 2)"
40.0,35.624999999999005,591,107.24750492793414,0.5,1.0,"(2, 2)"
40.0,34.99999999999886,592,107.87250492793429,0.5,1.0,"(2, 2)"
40.0,34.37499999999872,593,108.49750492793443,0.5,1.0,"(2, 2)"
40.0,33.74999999999858,594,109.12250492793457,0.5,1.0,"(2, 2)"
40.0,33.12499999999844,595,109.74750492793471,0.5,1.0,"(2, 2)"
40.0,32.499999999998295,596,110.37250492793486,0.5,1.0,"(2, 2)"
40.0,31.874999999998153,597,110.997504927935,0.5,1.0,"(2, 2)"
40.0,31.24999999999801,598,111.62250492793514,0.5,1.0,"(2, 2)"
40.0,30.62499999999787,599,112.24750492793528,0.5,1.0,"(2, 2)"
40.0,29.999999999997726,600,112.87250492793542,0.5,1.0,"(2, 2)"
40.0,29.374999999997584,601,113.49750492793557,0.5,1.0,"(2, 2)"
40.0,28.749999999997442,602,114.12250492793571,0.5,1.0,"(2, 2)"
40.0,28.1249999999973,603,114.74750492793585,0.5,1.0,"(2, 2)"
40.0,27.499999999997158,604,115.37250492793599,0.5,1.0,"(2, 2)"
40.0,26.874999999997016,605,115.99750492793613,0.5,1.0,"(2, 2)"
40.0,26.249999999996874,606,116.62250492793628,0.5,1.0,"(2, 2)"
40.0,25.62499999999673,607,117.24750492793642,0.5,1.0,"(2, 2)"
